,Country,Sustainable Competitiveness Rank ,Sustainable Competitiveness Score,Natural capital Rank ,Natural capital Score,Resource Intensity Rank ,Resource Intensity Score,Social Capital Rank ,Social Capital Score,Intellectual Capital Rank ,Intellectual Capital Score,Governance Rank ,Governance Score,,
,Egypt,131,41.0,137,37.4,135,40.0,178,30.8,89,39.6,50,57.4,,
,Jordan,132,41.0,155,33.7,108,45.1,92,43.1,130,31.5,95,51.6,,
,Malawi,133,40.9,110,40.7,1,63.8,107,40.8,165,21.4,166,37.8,,
,Angola,134,40.9,22,58.8,17,58.5,159,33.9,174,17.7,173,35.7,,
,India,135,40.9,152,34.0,103,46.0,123,38.6,105,37.3,120,48.3,,
,Azerbaijan,136,40.7,148,34.6,157,33.0,75,45.9,75,41.2,114,49.0,,
,Niger,137,40.6,93,43.9,32,54.7,84,44.0,171,19.2,152,41.5,,
,Rwanda,138,40.3,163,32.9,11,60.1,125,38.6,156,25.7,136,44.2,,
,Kuwait,139,40.2,165,32.2,178,24.8,42,52.0,113,35.9,60,56.0,,
,Honduras,140,40.0,95,43.1,77,49.3,158,33.9,136,30.4,140,43.4,,
,Togo,141,40.0,143,36.2,48,53.2,149,35.7,139,30.0,133,45.0,,
,Republic of Congo,142,40.0,34,57.0,104,46.0,167,33.0,135,30.6,176,33.4,,
,Turkmenistan,143,39.7,161,33.0,165,29.8,118,39.2,66,43.3,85,53.0,,
,Algeria,144,39.6,138,37.1,166,29.7,99,42.1,80,40.3,113,49.0,,
,Nigeria,145,39.6,123,39.4,82,48.8,141,36.7,162,22.7,102,50.4,,
,Qatar,146,39.3,162,32.9,179,24.6,41,52.3,106,37.3,110,49.7,,
,South Africa,147,39.3,69,48.6,156,33.2,177,31.1,65,43.3,156,40.4,,
,Afghanistan,148,39.3,131,38.5,43,53.7,176,31.2,140,29.9,145,43.1,,
,Lesotho,149,39.2,115,40.3,106,45.7,168,32.7,97,38.7,163,38.5,,
,Benin,150,39.2,136,37.5,124,42.4,172,32.5,137,30.4,84,53.1,,
